ts,image_path,vehicle_type,vehicle_id,tire_model_code,tire_position,tire_type,tread_design,operator,session_notes,brightness,glare_ratio,sharpness,edge_density,continuity,score,verdict,tread_verdict,quality_verdict,device_depth_mm,raw_score_verdict,psi_measured,psi_recommended,psi_status,mm_per_px,notes
20260327_081006,/home/charess/tireguard/data/captures/tire_20260327_081006.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,198.03433089780802,0.1160044039635672,179.26939295911814,0.23461115003503152,234.4,0.16268894977396903,GOOD,GOOD,WARNING,3.7571617321638207,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.116) | quality_verdict=WARNING | depth_mm=3.757; raw_score_verdict=GOOD
20260327_080945,/home/charess/tireguard/data/captures/tire_20260327_080945.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,141.16324692223,0.0,145.68078116466364,0.28565709138224404,570.8,0.1571238445028997,GOOD,GOOD,OK,3.7434592608248662,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.743; raw_score_verdict=GOOD
20260327_080835,/home/charess/tireguard/data/captures/tire_20260327_080835.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,154.79847837655146,0.28650529979433637,133.37404214811437,0.18251571241604464,2476.7,0.3080291767137816,GOOD,GOOD,WARNING,4.115020244633117,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.287) | quality_verdict=WARNING | depth_mm=4.115; raw_score_verdict=GOOD
20260327_080834,/home/charess/tireguard/data/captures/tire_20260327_080834.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,152.13794566452373,0.2742877277760999,174.58810299984611,0.1885489925357035,2569.8,0.3124228983045708,GOOD,GOOD,WARNING,4.125838520521286,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.274) | quality_verdict=WARNING | depth_mm=4.126; raw_score_verdict=GOOD
20260327_080833,/home/charess/tireguard/data/captures/tire_20260327_080833.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,152.28292416332283,0.2736621075491507,205.3089715383199,0.21405560109879046,2947.0,0.3289906940323687,GOOD,GOOD,WARNING,4.166631952999551,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.274) | quality_verdict=WARNING | depth_mm=4.167; raw_score_verdict=GOOD
20260327_080704,/home/charess/tireguard/data/captures/tire_20260327_080704.jpg,Car,redemo,,SPARE,,Directional,rwdemo,,144.396348391365,0.009456213775150652,165.2079043706373,0.3079777365491651,4230.3,0.2089272430641188,GOOD,GOOD,OK,3.871010232364555,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.871; raw_score_verdict=GOOD
20260327_080638,/home/charess/tireguard/data/captures/tire_20260327_080638.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,146.4951820051488,0.11865211200759374,245.50791905546916,0.27393536695862275,3802.6,0.26285583868089946,GOOD,GOOD,WARNING,4.003793890497766,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.119) | quality_verdict=WARNING | depth_mm=4.004; raw_score_verdict=GOOD
20260327_080627,/home/charess/tireguard/data/captures/tire_20260327_080627.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,147.99813033035625,0.054817275747508304,316.3489456384053,0.3240065582258273,4467.4,0.24279238332365696,GOOD,GOOD,OK,3.9543934014500213,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.954; raw_score_verdict=GOOD
20260327_080543,/home/charess/tireguard/data/captures/tire_20260327_080543.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,145.03142874528416,0.12197273944261897,411.9122241665242,0.23968601679445053,769.1,0.30491134490257915,GOOD,GOOD,WARNING,4.1073434804118225,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.122) | quality_verdict=WARNING | depth_mm=4.107; raw_score_verdict=GOOD
20260327_080542,/home/charess/tireguard/data/captures/tire_20260327_080542.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,150.21479858829255,0.1064865522696848,354.22144571866926,0.23633929658026043,770.9,0.26858870123034106,GOOD,GOOD,WARNING,4.017909415891735,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.106) | quality_verdict=WARNING | depth_mm=4.018; raw_score_verdict=GOOD
